Vivado Simulator 2020.1
Time resolution is 1 ps
Time =            278500000, Counter = 670, amp = 56, Data_out =  32431
Time =            279500000, Counter = 875, amp = 63, Data_out =  31694
Time =            280500000, Counter = 56, amp = 118, Data_out =  32647
Time =            281500000, Counter = 261, amp = 150, Data_out =  33994
Time =            282500000, Counter = 466, amp = 109, Data_out =  33864
Time =            283500000, Counter = 671, amp = 56, Data_out =  32425
Time =            284500000, Counter = 876, amp = 63, Data_out =  31699
Time =            285500000, Counter = 57, amp = 118, Data_out =  32669
Time =            286500000, Counter = 262, amp = 150, Data_out =  34006
Time =            287500000, Counter = 467, amp = 109, Data_out =  33867
Time =            288500000, Counter = 672, amp = 56, Data_out =  32425
Time =            289500000, Counter = 877, amp = 63, Data_out =  31699
Time =            290500000, Counter = 58, amp = 118, Data_out =  32669
Time =            291500000, Counter = 263, amp = 150, Data_out =  34012
Time =            292500000, Counter = 468, amp = 109, Data_out =  33867
Time =            293500000, Counter = 673, amp = 56, Data_out =  32425
Time =            294500000, Counter = 878, amp = 63, Data_out =  31699
Time =            295500000, Counter = 59, amp = 118, Data_out =  32669
Time =            296500000, Counter = 264, amp = 150, Data_out =  34012
Time =            297500000, Counter = 469, amp = 109, Data_out =  33867
Time =            298500000, Counter = 674, amp = 56, Data_out =  32425
Time =            299500000, Counter = 879, amp = 63, Data_out =  31699
Time =            300500000, Counter = 60, amp = 118, Data_out =  32669
Time =            301500000, Counter = 265, amp = 150, Data_out =  34012
Time =            302500000, Counter = 470, amp = 106, Data_out =  33861
Time =            303500000, Counter = 675, amp = 55, Data_out =  32423
Time =            304500000, Counter = 880, amp = 66, Data_out =  31705
Time =            305500000, Counter = 61, amp = 118, Data_out =  32669
Time =            306500000, Counter = 266, amp = 150, Data_out =  34009
Time =            307500000, Counter = 471, amp = 106, Data_out =  33848
Time =            308500000, Counter = 676, amp = 55, Data_out =  32404
Time =            309500000, Counter = 881, amp = 66, Data_out =  31702
Time =            310500000, Counter = 62, amp = 118, Data_out =  32684
Time =            311500000, Counter = 267, amp = 150, Data_out =  34018
Time =            312500000, Counter = 472, amp = 106, Data_out =  33848
Time =            313500000, Counter = 677, amp = 55, Data_out =  32404
Time =            314500000, Counter = 882, amp = 66, Data_out =  31678
Time =            315500000, Counter = 63, amp = 121, Data_out =  32595
Time =            316500000, Counter = 268, amp = 149, Data_out =  33861
Time =            317500000, Counter = 473, amp = 106, Data_out =  33696
Time =            318500000, Counter = 678, amp = 55, Data_out =  32302
Time =            319500000, Counter = 883, amp = 66, Data_out =  31657
Time =            320500000, Counter = 64, amp = 121, Data_out =  32658
Time =            321500000, Counter = 269, amp = 149, Data_out =  33972
Time =            322500000, Counter = 474, amp = 106, Data_out =  33778
Time =            323500000, Counter = 679, amp = 55, Data_out =  32323
Time =            324500000, Counter = 884, amp = 66, Data_out =  31657
Time =            325500000, Counter = 65, amp = 121, Data_out =  32658
Time =            326500000, Counter = 270, amp = 149, Data_out =  33963
Time =            327500000, Counter = 475, amp = 106, Data_out =  33781
Time =            328500000, Counter = 680, amp = 55, Data_out =  32393
Time =            329500000, Counter = 885, amp = 66, Data_out =  31789
Time =            330500000, Counter = 66, amp = 121, Data_out =  32808
Time =            331500000, Counter = 271, amp = 149, Data_out =  34092
Time =            332500000, Counter = 476, amp = 106, Data_out =  33868
Time =            333500000, Counter = 681, amp = 55, Data_out =  32424
Time =            334500000, Counter = 886, amp = 66, Data_out =  31782
Time =            335500000, Counter = 67, amp = 121, Data_out =  32806
Time =            336500000, Counter = 272, amp = 149, Data_out =  34092
Time =            337500000, Counter = 477, amp = 106, Data_out =  33868
Time =            338500000, Counter = 682, amp = 55, Data_out =  32424
Time =            339500000, Counter = 887, amp = 66, Data_out =  31791
Time =            340500000, Counter = 68, amp = 121, Data_out =  32821
Time =            341500000, Counter = 273, amp = 149, Data_out =  34098
Time =            342500000, Counter = 478, amp = 106, Data_out =  33867
Time =            343500000, Counter = 683, amp = 55, Data_out =  32423
Time =            344500000, Counter = 888, amp = 66, Data_out =  31791
Time =            345500000, Counter = 69, amp = 121, Data_out =  32821
Time =            346500000, Counter = 274, amp = 149, Data_out =  34104
Time =            347500000, Counter = 479, amp = 106, Data_out =  33865
Time =            348500000, Counter = 684, amp = 55, Data_out =  32423
Time =            349500000, Counter = 889, amp = 66, Data_out =  31791
Time =            350500000, Counter = 70, amp = 121, Data_out =  32821
Time =            351500000, Counter = 275, amp = 149, Data_out =  34104
Time =            352500000, Counter = 480, amp = 103, Data_out =  33859
Time =            353500000, Counter = 685, amp = 53, Data_out =  32419
Time =            354500000, Counter = 890, amp = 68, Data_out =  31795
Time =            355500000, Counter = 71, amp = 121, Data_out =  32821
Time =            356500000, Counter = 276, amp = 149, Data_out =  34101
Time =            357500000, Counter = 481, amp = 103, Data_out =  33845
Time =            358500000, Counter = 686, amp = 53, Data_out =  32395
Time =            359500000, Counter = 891, amp = 68, Data_out =  31782
Time =            360500000, Counter = 72, amp = 121, Data_out =  32827
Time =            361500000, Counter = 277, amp = 149, Data_out =  34107
Time =            362500000, Counter = 482, amp = 103, Data_out =  33845
Time =            363500000, Counter = 687, amp = 53, Data_out =  32395
Time =            364500000, Counter = 892, amp = 68, Data_out =  31758
Time =            365500000, Counter = 73, amp = 124, Data_out =  32730
Time =            366500000, Counter = 278, amp = 149, Data_out =  33915
Time =            367500000, Counter = 483, amp = 103, Data_out =  33614
Time =            368500000, Counter = 688, amp = 53, Data_out =  32180
Time =            369500000, Counter = 893, amp = 68, Data_out =  31611
Time =            370500000, Counter = 74, amp = 124, Data_out =  32681
Time =            371500000, Counter = 279, amp = 149, Data_out =  33951
Time =            372500000, Counter = 484, amp = 103, Data_out =  33665
Time =            373500000, Counter = 689, amp = 53, Data_out =  32196
Time =            374500000, Counter = 894, amp = 68, Data_out =  31611
Time =            375500000, Counter = 75, amp = 124, Data_out =  32681
Time =            376500000, Counter = 280, amp = 149, Data_out =  33942
Time =            377500000, Counter = 485, amp = 103, Data_out =  33665
Time =            378500000, Counter = 690, amp = 53, Data_out =  32265
Time =            379500000, Counter = 895, amp = 68, Data_out =  31762
Time =            380500000, Counter = 76, amp = 124, Data_out =  32876
Time =            381500000, Counter = 281, amp = 149, Data_out =  34133
Time =            382500000, Counter = 486, amp = 103, Data_out =  33815
Time =            383500000, Counter = 691, amp = 53, Data_out =  32346
Time =            384500000, Counter = 896, amp = 68, Data_out =  31782
Time =            385500000, Counter = 77, amp = 124, Data_out =  32880
Time =            386500000, Counter = 282, amp = 149, Data_out =  34133
