Time =            290500000, Counter = 58, amp = 118, Data_out =  35278
Time =            291500000, Counter = 263, amp = 150, Data_out =  45584
Time =            292500000, Counter = 468, amp = 109, Data_out =  44442
Time =            293500000, Counter = 673, amp = 56, Data_out =  33420
Time =            294500000, Counter = 878, amp = 63, Data_out =  27772
Time =            295500000, Counter = 59, amp = 118, Data_out =  35278
Time =            296500000, Counter = 264, amp = 150, Data_out =  45584
Time =            297500000, Counter = 469, amp = 109, Data_out =  44442
Time =            298500000, Counter = 674, amp = 56, Data_out =  33420
Time =            299500000, Counter = 879, amp = 63, Data_out =  27772
Time =            300500000, Counter = 60, amp = 118, Data_out =  35278
Time =            301500000, Counter = 265, amp = 150, Data_out =  45584
Time =            302500000, Counter = 470, amp = 106, Data_out =  44442
Time =            303500000, Counter = 675, amp = 55, Data_out =  33402
Time =            304500000, Counter = 880, amp = 66, Data_out =  27760
Time =            305500000, Counter = 61, amp = 118, Data_out =  35294
Time =            306500000, Counter = 266, amp = 150, Data_out =  45590
Time =            307500000, Counter = 471, amp = 106, Data_out =  44433
Time =            308500000, Counter = 676, amp = 55, Data_out =  33378
Time =            309500000, Counter = 881, amp = 66, Data_out =  27762
Time =            310500000, Counter = 62, amp = 118, Data_out =  35315
Time =            311500000, Counter = 267, amp = 150, Data_out =  45584
Time =            312500000, Counter = 472, amp = 106, Data_out =  44386
Time =            313500000, Counter = 677, amp = 55, Data_out =  33366
Time =            314500000, Counter = 882, amp = 66, Data_out =  27806
Time =            315500000, Counter = 63, amp = 121, Data_out =  35318
Time =            316500000, Counter = 268, amp = 149, Data_out =  45464
Time =            317500000, Counter = 473, amp = 106, Data_out =  44022
Time =            318500000, Counter = 678, amp = 55, Data_out =  33078
Time =            319500000, Counter = 883, amp = 66, Data_out =  27880
Time =            320500000, Counter = 64, amp = 121, Data_out =  35599
Time =            321500000, Counter = 269, amp = 149, Data_out =  45620
Time =            322500000, Counter = 474, amp = 106, Data_out =  44012
Time =            323500000, Counter = 679, amp = 55, Data_out =  33032
Time =            324500000, Counter = 884, amp = 66, Data_out =  27868
Time =            325500000, Counter = 65, amp = 121, Data_out =  35685
Time =            326500000, Counter = 270, amp = 149, Data_out =  45614
Time =            327500000, Counter = 475, amp = 106, Data_out =  43990
Time =            328500000, Counter = 680, amp = 55, Data_out =  33016
Time =            329500000, Counter = 885, amp = 66, Data_out =  28024
Time =            330500000, Counter = 66, amp = 121, Data_out =  35966
Time =            331500000, Counter = 271, amp = 149, Data_out =  45820
Time =            332500000, Counter = 476, amp = 106, Data_out =  44002
Time =            333500000, Counter = 681, amp = 55, Data_out =  32970
Time =            334500000, Counter = 886, amp = 66, Data_out =  28042
Time =            335500000, Counter = 67, amp = 121, Data_out =  35969
Time =            336500000, Counter = 272, amp = 149, Data_out =  45864
Time =            337500000, Counter = 477, amp = 106, Data_out =  43993
Time =            338500000, Counter = 682, amp = 55, Data_out =  32968
Time =            339500000, Counter = 887, amp = 66, Data_out =  28042
Time =            340500000, Counter = 68, amp = 121, Data_out =  35990
Time =            341500000, Counter = 273, amp = 149, Data_out =  45866
Time =            342500000, Counter = 478, amp = 106, Data_out =  43990
Time =            343500000, Counter = 683, amp = 55, Data_out =  32968
Time =            344500000, Counter = 888, amp = 66, Data_out =  28048
Time =            345500000, Counter = 69, amp = 121, Data_out =  36006
Time =            346500000, Counter = 274, amp = 149, Data_out =  45860
Time =            347500000, Counter = 479, amp = 106, Data_out =  43990
Time =            348500000, Counter = 684, amp = 55, Data_out =  32968
Time =            349500000, Counter = 889, amp = 66, Data_out =  28048
Time =            350500000, Counter = 70, amp = 121, Data_out =  36006
Time =            351500000, Counter = 275, amp = 149, Data_out =  45860
Time =            352500000, Counter = 480, amp = 103, Data_out =  43990
Time =            353500000, Counter = 685, amp = 53, Data_out =  32950
Time =            354500000, Counter = 890, amp = 68, Data_out =  28030
Time =            355500000, Counter = 71, amp = 121, Data_out =  36014
Time =            356500000, Counter = 276, amp = 149, Data_out =  45864
Time =            357500000, Counter = 481, amp = 103, Data_out =  43981
Time =            358500000, Counter = 686, amp = 53, Data_out =  32923
Time =            359500000, Counter = 891, amp = 68, Data_out =  28022
Time =            360500000, Counter = 72, amp = 121, Data_out =  36028
Time =            361500000, Counter = 277, amp = 149, Data_out =  45858
Time =            362500000, Counter = 482, amp = 103, Data_out =  43932
Time =            363500000, Counter = 687, amp = 53, Data_out =  32894
Time =            364500000, Counter = 892, amp = 68, Data_out =  28050
Time =            365500000, Counter = 73, amp = 124, Data_out =  36030
Time =            366500000, Counter = 278, amp = 149, Data_out =  45738
Time =            367500000, Counter = 483, amp = 103, Data_out =  43528
Time =            368500000, Counter = 688, amp = 53, Data_out =  32456
Time =            369500000, Counter = 893, amp = 68, Data_out =  27912
Time =            370500000, Counter = 74, amp = 124, Data_out =  36159
Time =            371500000, Counter = 279, amp = 149, Data_out =  45851
Time =            372500000, Counter = 484, amp = 103, Data_out =  43525
Time =            373500000, Counter = 689, amp = 53, Data_out =  32409
Time =            374500000, Counter = 894, amp = 68, Data_out =  27884
