Time =            341500000, Counter = 681, amp = 55, Data_out =  25316
Time =            342500000, Counter = 686, amp = 53, Data_out =  24889
Time =            343500000, Counter = 691, amp = 53, Data_out =  24392
Time =            344500000, Counter = 696, amp = 52, Data_out =  23917
Time =            345500000, Counter = 701, amp = 52, Data_out =  23494
Time =            346500000, Counter = 706, amp = 51, Data_out =  23130
Time =            347500000, Counter = 711, amp = 51, Data_out =  22755
Time =            348500000, Counter = 716, amp = 51, Data_out =  22423
Time =            349500000, Counter = 721, amp = 51, Data_out =  22153
Time =            350500000, Counter = 726, amp = 50, Data_out =  21993
Time =            351500000, Counter = 731, amp = 50, Data_out =  21883
Time =            352500000, Counter = 736, amp = 50, Data_out =  21722
Time =            353500000, Counter = 741, amp = 50, Data_out =  21451
Time =            354500000, Counter = 746, amp = 50, Data_out =  21152
Time =            355500000, Counter = 751, amp = 50, Data_out =  20915
Time =            356500000, Counter = 756, amp = 50, Data_out =  20675
Time =            357500000, Counter = 761, amp = 50, Data_out =  20396
Time =            358500000, Counter = 766, amp = 50, Data_out =  20112
Time =            359500000, Counter = 771, amp = 50, Data_out =  19871
Time =            360500000, Counter = 776, amp = 50, Data_out =  19684
Time =            361500000, Counter = 781, amp = 51, Data_out =  19512
Time =            362500000, Counter = 786, amp = 51, Data_out =  19396
Time =            363500000, Counter = 791, amp = 51, Data_out =  19306
Time =            364500000, Counter = 796, amp = 51, Data_out =  19243
Time =            365500000, Counter = 801, amp = 52, Data_out =  19115
Time =            366500000, Counter = 806, amp = 52, Data_out =  19012
Time =            367500000, Counter = 811, amp = 53, Data_out =  18942
Time =            368500000, Counter = 816, amp = 53, Data_out =  18928
Time =            369500000, Counter = 821, amp = 55, Data_out =  18921
Time =            370500000, Counter = 826, amp = 55, Data_out =  18928
Time =            371500000, Counter = 831, amp = 56, Data_out =  18928
Time =            372500000, Counter = 836, amp = 56, Data_out =  18921
Time =            373500000, Counter = 841, amp = 58, Data_out =  18928
Time =            374500000, Counter = 846, amp = 58, Data_out =  18942
Time =            375500000, Counter = 851, amp = 59, Data_out =  19012
Time =            376500000, Counter = 856, amp = 59, Data_out =  19121
Time =            377500000, Counter = 861, amp = 61, Data_out =  19251
Time =            378500000, Counter = 866, amp = 61, Data_out =  19320
Time =            379500000, Counter = 871, amp = 63, Data_out =  19412
Time =            380500000, Counter = 876, amp = 63, Data_out =  19531
Time =            381500000, Counter = 881, amp = 66, Data_out =  19710
Time =            382500000, Counter = 886, amp = 66, Data_out =  19906
Time =            383500000, Counter = 891, amp = 68, Data_out =  20156
Time =            384500000, Counter = 896, amp = 68, Data_out =  20436
Time =            385500000, Counter = 901, amp = 70, Data_out =  20728
Time =            386500000, Counter = 906, amp = 70, Data_out =  20974
Time =            387500000, Counter = 911, amp = 73, Data_out =  21233
Time =            388500000, Counter = 916, amp = 73, Data_out =  21536
Time =            389500000, Counter = 921, amp = 76, Data_out =  21848
Time =            390500000, Counter = 926, amp = 76, Data_out =  22117
Time =            391500000, Counter = 931, amp = 76, Data_out =  22394
Time =            392500000, Counter = 936, amp = 78, Data_out =  22690
Time =            393500000, Counter = 941, amp = 78, Data_out =  23064
Time =            394500000, Counter = 946, amp = 81, Data_out =  23433
Time =            395500000, Counter = 951, amp = 81, Data_out =  23869
Time =            396500000, Counter = 956, amp = 84, Data_out =  24317
Time =            397500000, Counter = 961, amp = 84, Data_out =  24809
Time =            398500000, Counter = 966, amp = 87, Data_out =  25236
Time =            399500000, Counter = 971, amp = 87, Data_out =  25636
Time =            400500000, Counter = 976, amp = 90, Data_out =  26009
Time =            401500000, Counter = 981, amp = 90, Data_out =  26406
Time =            402500000, Counter = 986, amp = 93, Data_out =  26936
Time =            403500000, Counter = 991, amp = 93, Data_out =  27453
Time =            404500000, Counter = 996, amp = 97, Data_out =  28027
Time =            405500000, Counter = 1001, amp = 97, Data_out =  28405
Time =            406500000, Counter = 1006, amp = 100, Data_out =  28764
Time =            407500000, Counter = 1011, amp = 100, Data_out =  29040
Time =            408500000, Counter = 1016, amp = 100, Data_out =  29525
Time =            409500000, Counter = 1021, amp = 100, Data_out =  29983
Time =            410500000, Counter = 2, amp = 103, Data_out =  30577
Time =            411500000, Counter = 7, amp = 103, Data_out =  31099
Time =            412500000, Counter = 12, amp = 106, Data_out =  31654
Time =            413500000, Counter = 17, amp = 106, Data_out =  32190
Time =            414500000, Counter = 22, amp = 109, Data_out =  32744
Time =            415500000, Counter = 27, amp = 109, Data_out =  33303
Time =            416500000, Counter = 32, amp = 112, Data_out =  33846
Time =            417500000, Counter = 37, amp = 112, Data_out =  34409
Time =            418500000, Counter = 42, amp = 115, Data_out =  34959
Time =            419500000, Counter = 47, amp = 115, Data_out =  35638
Time =            420500000, Counter = 52, amp = 118, Data_out =  36290
Time =            421500000, Counter = 57, amp = 118, Data_out =  36898
Time =            422500000, Counter = 62, amp = 118, Data_out =  37318
Time =            423500000, Counter = 67, amp = 121, Data_out =  37546
Time =            424500000, Counter = 72, amp = 121, Data_out =  37805
Time =            425500000, Counter = 77, amp = 124, Data_out =  38234
Time =            426500000, Counter = 82, amp = 124, Data_out =  38812
Time =            427500000, Counter = 87, amp = 127, Data_out =  39355
Time =            428500000, Counter = 92, amp = 127, Data_out =  39916
Time =            429500000, Counter = 97, amp = 129, Data_out =  40442
Time =            430500000, Counter = 102, amp = 129, Data_out =  40997
Time =            431500000, Counter = 107, amp = 132, Data_out =  41553
Time =            432500000, Counter = 112, amp = 132, Data_out =  42078
Time =            433500000, Counter = 117, amp = 134, Data_out =  42659
Time =            434500000, Counter = 122, amp = 134, Data_out =  43175
Time =            435500000, Counter = 127, amp = 136, Data_out =  43766
Time =            436500000, Counter = 132, amp = 136, Data_out =  44150
Time =            437500000, Counter = 137, amp = 138, Data_out =  44562
Time =            438500000, Counter = 142, amp = 138, Data_out =  44923
Time =            439500000, Counter = 147, amp = 140, Data_out =  45499
Time =            440500000, Counter = 152, amp = 140, Data_out =  46017
Time =            441500000, Counter = 157, amp = 142, Data_out =  46608
Time =            442500000, Counter = 162, amp = 142, Data_out =  47122
Time =            443500000, Counter = 167, amp = 144, Data_out =  47610
Time =            444500000, Counter = 172, amp = 144, Data_out =  48056
Time =            445500000, Counter = 177, amp = 145, Data_out =  48490
Time =            446500000, Counter = 182, amp = 145, Data_out =  48990
Time =            447500000, Counter = 187, amp = 146, Data_out =  49461
Time =            448500000, Counter = 192, amp = 146, Data_out =  49913
Time =            449500000, Counter = 197, amp = 147, Data_out =  50286
Time =            450500000, Counter = 202, amp = 147, Data_out =  50674
Time =            451500000, Counter = 207, amp = 148, Data_out =  51033
Time =            452500000, Counter = 212, amp = 148, Data_out =  51424
Time =            453500000, Counter = 217, amp = 149, Data_out =  51802
Time =            454500000, Counter = 222, amp = 149, Data_out =  52169
Time =            455500000, Counter = 227, amp = 149, Data_out =  52527
Time =            456500000, Counter = 232, amp = 149, Data_out =  52894
Time =            457500000, Counter = 237, amp = 150, Data_out =  53253
Time =            458500000, Counter = 242, amp = 150, Data_out =  53617
Time =            459500000, Counter = 247, amp = 150, Data_out =  53923
Time =            460500000, Counter = 252, amp = 150, Data_out =  54174
Time =            461500000, Counter = 257, amp = 150, Data_out =  54371
Time =            462500000, Counter = 262, amp = 150, Data_out =  54577
Time =            463500000, Counter = 267, amp = 150, Data_out =  54775
Time =            464500000, Counter = 272, amp = 149, Data_out =  54976
Time =            465500000, Counter = 277, amp = 149, Data_out =  55145
Time =            466500000, Counter = 282, amp = 149, Data_out =  55330
Time =            467500000, Counter = 287, amp = 149, Data_out =  55518
Time =            468500000, Counter = 292, amp = 148, Data_out =  55704
Time =            469500000, Counter = 297, amp = 148, Data_out =  55822
Time =            470500000, Counter = 302, amp = 147, Data_out =  55885
Time =            471500000, Counter = 307, amp = 147, Data_out =  55943
Time =            472500000, Counter = 312, amp = 146, Data_out =  56073
